"","Groups","KIF2C","CKAP2L","CLSPN","RRM2","KIF15","RAD51AP1","PDE2A","ESPL1","TOP2A","SCN4B","DONSON","CAV1","ADAM33","CA4","CCNF","RTKN2","ESR1","CALCOCO1","DSCC1","ADAMTS14","MOCS1","CDC123","MCM6","IGFBP6","SH2B2","PFDN2","CDKN2D","SH2D2A","TGFBR2","YIF1B","DNAJC9","GABRD","LSM4","MTHFD2","GPD1L","CPA1","DLX5","AKAP12"
"TCGA-D8-A27P-01A","LumA",8.82942259511459,7.77199033987447,7.51799569674383,10.2319462697615,7.63927748927502,8.17174968718522,7.49965568122907,8.27538960659967,11.6018171254144,10.4156377299344,8.39908095343754,11.7172929867974,7.53532760165285,0.00719871988096621,9.2406772914692,8.21230312921838,13.0657825958575,12.2995474928767,8.10386850704129,8.28858976764853,9.95460253217633,10.9806989147463,11.0270841652107,8.75706709312383,7.22130517301267,10.4112003507078,7.67195780030873,4.90232267554434,11.7637065791981,10.7570080947938,9.13913457629912,7.14292264754068,11.6363277916812,11.2754890801763,13.2002304806324,0.0717446158443693,5.64270078630961,11.0572053078137
"TCGA-A8-A07U-01A","Basal",11.4993761742331,10.6461851355136,10.0447311274225,12.1575597252487,9.8279859811459,10.8559221461683,9.48344329914098,10.5581964935803,13.6798602200751,9.05446655313702,10.088810707546,12.3564364745581,7.56966275900767,6.90538497301669,11.1408695770549,10.0790930494018,10.4986377537541,11.4023656258476,10.1846470036217,8.04552319863099,9.40600525368668,13.3015002498359,12.5985175335425,8.17174968718522,9.7341237426871,12.2527555861209,9.94435942840942,9.99550261670314,12.9729346552209,12.2667037600196,9.33214052538121,6.08140497761193,12.0448332620033,12.7386395680764,11.0918060772117,4.72968695099238,4.60927712485048,10.8519540962712
"TCGA-E9-A1NA-01A","LumB",11.0918060772117,9.33890903049331,9.31113903079018,12.2946772744633,8.82072067344583,9.48344329914098,7.58742479745185,10.0349944490767,12.1978507787088,8.06015269906488,9.16918745735529,11.21558252931,7.18130057718394,2.43809770264888,10.1177755131994,8.31429735273503,15.0116258534784,11.2828630268137,8.63932190892,9.48976681756243,8.08933481656732,11.1779106230274,12.0922965046624,8.89905589017084,8.48041785178923,11.9902796165507,10.0741025551193,9.57617604393198,12.6267526895065,11.5104788996363,9.81196306912368,8.32686733046334,13.4544524210225,13.0116242514909,11.133384785215,0.0717446158443693,6.56978497225527,10.0790930494018
"TCGA-GM-A2D9-01A","LumA",8.3390997760831,6.8056189286579,7.2605282257012,9.81196306912368,7.37284740281152,7.4451353770574,8.67012813273099,8.28858976764853,11.1927808969626,8.76618525341501,9.2265154117585,11.8108774978498,7.86588191270035,3.9858651376976,9.33214052538121,7.78781369280051,15.3953991078689,12.4860355373344,7.04445574307263,10.2553109745359,10.1992241673802,11.2754890801763,10.9151845863448,9.57617604393198,6.90538497301669,12.5659537303647,7.98790601076077,6.56978497225527,11.9612098925464,10.8953536702574,8.68036420549017,8.54681846198191,12.2527555861209,11.9039461683625,12.5713880774783,0.394455652995398,6.41544234533406,9.75108316110088
"TCGA-E2-A573-01A","Basal",11.7248779882008,9.63022985476322,10.4723408214789,13.0266083485459,11.1068216870762,11.1221213284103,7.58742479745185,11.3765262152748,13.849289024774,5.80543304276289,12.225416662983,11.2792703799044,5.31546697780542,0.00719871988096621,11.1482113595413,9.64173247021336,6.65672780811963,11.8510426680648,9.77368256144256,8.14572251138459,8.39908095343754,12.8937226687383,12.8532434193177,7.75522300867905,9.57007231471956,12.781418834833,10.0106755004431,9.31812974484847,12.105611233825,11.2942589902,10.8363308200136,6.25999929663648,13.1065770459689,12.342003297427,10.0399740231019,0.886068213437804,6.01178430759905,8.04552319863099
"TCGA-E2-A1IE-01A","LumA",10.6088011364184,9.58228832902032,9.78971550309407,11.506860648404,8.84698345698929,9.72286019966661,8.69975849644493,10.6625605508408,13.8334844302001,9.10879208148896,9.7341237426871,11.6552420632321,7.20111897192378,4.35630469643661,10.4245844205151,8.17174968718522,15.9531532614686,12.2901271764765,8.9989652853927,7.65532501996219,10.2368622959595,11.2081362704791,11.5254210746062,8.37466971719466,6.78468157613233,10.6420251018651,10.0002909424817,5.24157581000119,11.6666712743626,11.2230941027006,8.81163113659332,8.94904288166479,12.3325954558573,11.1106738487087,12.3662879633558,2.6559840154089,5.1705027709834,9.82262624852253
"TCGA-A2-A0YM-01A","Basal",11.8067207774496,11.4323140780582,11.0918060772117,12.6782401769886,11.1594667227283,11.2269527927564,6.98475768608828,12.1620099341888,14.582972680801,8.32686733046334,11.7989616255434,10.1372071692967,4.92734975478179,0.00719871988096621,11.6740357941352,10.5542365227739,7.10419223725763,10.5791600725035,10.3852298548901,8.23744078880566,9.58841509828523,11.8792404722378,13.2461664861621,6.76453495527098,7.06462567876947,11.5485211403951,9.09340845888605,8.69975849644493,11.6475116288623,11.087940957648,10.7888567050705,5.59616530182728,12.4253425284276,12.7565461474717,8.75706709312383,1.36175477463742,4.45736980837025,11.5750495176958
"TCGA-E9-A3X8-01A","LumA",9.39261863251766,6.23718178731088,6.63459764374385,9.76213407163472,6.69823052008877,6.10401398885323,8.77547969281103,6.88491732031664,10.4986377537541,8.88241157461213,9.29028005816763,12.1707927194389,9.81741426110868,3.54023341907417,9.77368256144256,7.94413885656888,13.1911492676416,11.3541434027096,8.55700550435989,9.05446655313702,10.0790930494018,11.3429055861952,10.9999628632796,12.0665330797394,9.254407535865,12.4002787539368,10.2553109745359,9.39946984507776,11.5254210746062,12.8461805926982,7.67195780030873,8.60859844258371,13.5091966919086,10.8401622205558,11.6438115042527,3.36697433378447,6.30523408999761,10.6292428803928
"TCGA-BH-A0EE-01A","HER2E",11.8108774978498,9.97480526934456,10.7610473593774,12.2901271764765,10.2506010763284,9.65326695352424,6.94644437520396,9.83329457962986,15.5426522903881,6.84532983708405,11.8713143355561,10.049793214894,5.75859900984851,1.87286965987597,11.4359523466873,10.4112003507078,10.1800302548302,10.4024910507151,9.87632536081561,8.51452754998878,8.66000277360028,11.9527518540223,12.6960529596446,7.70465975558878,8.43384773599546,12.3325954558573,9.83877971152198,8.44575054144547,10.6791146623177,10.8677218812299,10.5115554709672,6.72015001484376,12.9434323452496,12.512382097214,12.2946772744633,2.02177181242717,4.33031336921483,7.77199033987447
"TCGA-BH-A1F2-01A","LumB",10.4287019126505,10.3724070432467,10.1130204414048,12.491260139781,10.494169304022,9.71129465438472,9.34557307912089,9.45125020602163,12.929157398049,9.13141744537965,10.650161318675,13.7476155294042,7.2605282257012,5.19453728770902,10.2041175549159,10.0106755004431,13.3505556587716,11.5446827528113,10.4112003507078,8.60859844258371,10.3459889072675,11.842867597197,12.225416662983,8.78466132488855,6.10401398885323,9.31113903079018,7.81876722610876,5.92153421023544,13.5317794304203,9.62451537325828,8.59864288430783,7.00481619930008,11.7950458881489,11.7248779882008,13.5667702757116,4.25199629503013,7.49965568122907,11.586308550287
"TCGA-A2-A4RW-01A","LumA",9.50816233220538,7.08432476422093,8.69975849644493,10.2957226268876,7.42802486909716,8.49177566505104,9.26898354914478,9.43866393298318,12.3467388891859,8.9989652853927,9.13913457629912,11.9817883539107,10.6088011364184,5.19453728770902,10.3547312148122,8.21230312921838,13.959069477449,12.7506808598437,8.00268015863692,10.650161318675,10.8401622205558,11.6285076041148,11.3243136323921,8.36277072842537,7.4451353770574,10.9034293402516,7.75522300867905,6.88491732031664,12.6900004255619,11.2828630268137,9.24750633770645,7.24158450971638,12.2852219616277,11.9862254956652,11.5524383141549,2.17548421292927,4.22737316423846,11.7483941573485
"TCGA-5L-AAT1-01A","LumA",7.1616892132529,6.12606199577552,6.59154574723062,8.50290881542273,6.90538497301669,7.48127717322089,8.3390997760831,6.56978497225527,9.43190912126153,7.8820539871662,8.24967996338187,11.6323320185817,9.61215306061716,0.00962345632602535,9.93400113387345,7.27984601097465,13.7337823058886,12.5228694766678,6.39450955941416,10.264197878598,9.91310582937846,11.2981100883042,10.6708193892141,9.01507837636844,8.17174968718522,11.2569281173668,8.56800095103933,8.59864288430783,12.7019351411171,10.8597930584407,8.90778551295309,6.82526189113382,12.3712130334088,12.2025625111098,11.6590289888277,2.17548421292927,5.19453728770902,10.3459889072675
